episode,timestep,reward
1487,1280000,31.051
1490,1282000,65.9334
1492,1284000,145.8796
1494,1286000,144.0284
1496,1288000,143.5775
1498,1290000,151.1711
1501,1292000,74.1884
1503,1294000,148.4961
1505,1296000,53.8485
1507,1298000,159.1114
1510,1300000,95.5319
1512,1302000,135.5033
1514,1304000,146.9418
1517,1306000,60.9886
1519,1308000,151.4578
1521,1310000,147.7487
1523,1312000,156.022
1525,1314000,145.9853
1527,1316000,15.687
1529,1318000,160.997
1532,1320000,113.0455
1534,1322000,84.2971
1536,1324000,89.4324
1538,1326000,160.8648
1540,1328000,59.0799
1543,1330000,28.9226
1545,1332000,150.9095
1547,1334000,164.3592
1549,1336000,60.3631
1553,1338000,47.1353
1555,1340000,157.0243
1557,1342000,95.7193
1559,1344000,50.2493
1563,1346000,13.9025
1565,1348000,149.7301
1567,1350000,24.5894
1569,1352000,151.6579
1572,1354000,68.9277
1575,1356000,81.7063
1577,1358000,147.3316
1579,1360000,160.5576
1583,1362000,-22.0753
1585,1364000,155.528
1587,1366000,148.8072
1589,1368000,153.8681
1591,1370000,154.4831
1593,1372000,156.5632
1595,1374000,155.8294
1598,1376000,75.1932
1600,1378000,76.6226
1603,1380000,80.0673
1605,1382000,164.7447
1607,1384000,141.3395
1609,1386000,162.3922
1611,1388000,158.079
1613,1390000,163.6613
1616,1392000,55.6701
1618,1394000,150.541
1620,1396000,159.7895
1622,1398000,30.0286
1624,1400000,151.0207
1626,1402000,152.4277
1628,1404000,151.1925
1630,1406000,156.0019
1633,1408000,69.9677
1637,1410000,-3.9683
1640,1412000,52.2347
1642,1414000,158.6775
1645,1416000,75.672
1647,1418000,150.7267
1649,1420000,148.7265
1651,1422000,134.2512
1653,1424000,149.7576
1655,1426000,141.332
1657,1428000,144.8708
1659,1430000,153.6689
1661,1432000,50.1265
1663,1434000,148.3634
1665,1436000,150.1234
1667,1438000,160.7999
1669,1440000,159.1848
1671,1442000,139.2113
1673,1444000,157.6271
1676,1446000,34.6145
1678,1448000,83.3591
1680,1450000,146.8422
1682,1452000,165.1098
1684,1454000,150.1547
1686,1456000,154.7647
1688,1458000,155.1696
1690,1460000,147.671
1692,1462000,156.7636
1694,1464000,152.0659
1696,1466000,156.2021
1699,1468000,69.93
1701,1470000,148.9298
1703,1472000,150.9082
1705,1474000,140.7075
1708,1476000,77.7152
1711,1478000,-8.2337
1713,1480000,143.704
1715,1482000,158.4234
1717,1484000,142.7086
1719,1486000,143.0613
1721,1488000,153.3044
1723,1490000,153.4452
1726,1492000,67.4815
1728,1494000,152.8999
1730,1496000,152.5858
1732,1498000,151.7311
1734,1500000,157.1923
